area_name,id,date,confirmed_cases,new_cases,movement_score,stationary_score,lag_adjusted_cases
"Albemarle, Virginia, US",51003.0,06/03/2020,204,4,-0.09474,0.19467,4
"Albemarle, Virginia, US",51003.0,06/04/2020,213,9,-0.07361000000000001,0.2023,3
"Albemarle, Virginia, US",51003.0,06/05/2020,217,4,-0.16985,0.21004,2
"Albemarle, Virginia, US",51003.0,06/06/2020,221,4,-0.06797,0.22801,9
"Albemarle, Virginia, US",51003.0,06/07/2020,251,30,-0.06992999999999999,0.24004,3
"Albemarle, Virginia, US",51003.0,06/08/2020,255,4,-0.08699,0.21459,3
"Albemarle, Virginia, US",51003.0,06/09/2020,258,3,-0.13191,0.21654,11
"Albemarle, Virginia, US",51003.0,06/10/2020,260,2,-0.12799000000000002,0.21412,4
"Albemarle, Virginia, US",51003.0,06/11/2020,269,9,-0.12076,0.20598,3
"Albemarle, Virginia, US",51003.0,06/12/2020,272,3,-0.10151,0.1946,0
"Albemarle, Virginia, US",51003.0,06/13/2020,275,3,-0.03777,0.20843000000000006,9
"Albemarle, Virginia, US",51003.0,06/14/2020,286,11,-0.09636,0.25373,2
"Albemarle, Virginia, US",51003.0,06/15/2020,290,4,-0.12186,0.21456,17
"Albemarle, Virginia, US",51003.0,06/16/2020,293,3,-0.10879,0.22772,13
"Albemarle, Virginia, US",51003.0,06/17/2020,293,0,-0.18213,0.2225,6
"Albemarle, Virginia, US",51003.0,06/18/2020,302,9,-0.15680999999999998,0.21346,12
"Albemarle, Virginia, US",51003.0,06/19/2020,304,2,-0.13899,0.19426,7
